Molecule,"Electronic state","Reduced mass","Te (cm^{-1})","omega_e (cm^{-1})","omega_ex_e (cm^{-1})","Be (cm^{-1})","alpha_e (cm^{-1})","De (10^{-7}cm^{-1})","Re (\AA)","D0 (eV)","IP (eV)",Reference,"Date of reference"
PF,"X $^3\Sigma^-$",11.7755965,0,846.75,4.489,0.5665,0.00456,,1.5897,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","JUL 1977"
PF,"a $^1\Delta$",11.7755965,7090.43,858.79,4.438,0.5699,0.00467,10,1.5849,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","JUL 1977"
PF,"b $^1\Sigma^+$",11.7755965,13353.9,866.14,4.51,0.5725,0.0045,9,1.5813,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","JUL 1977"
PH,"X $^3\Sigma^-$",0.97606596,0,2365.2,44.5,8.5371,0.2514,4360,1.42234,3.02,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","JUL 1977"
PH,"a $^1\Delta$",0.97606596,7660,,,8.443,0.12,4180,1.4302,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","JUL 1977"
PH,"A $^3\Pi_2$",0.97606596,29498,1834.38,98.5,8.0222,,5683,1.46728,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","JUL 1977"
PH,"A $^3\Pi_1$",0.97606596,29498,1833.74,98.5,8.0222,,5683,1.46728,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","JUL 1977"
PH,"A $^3\Pi_0^-$",0.97606596,29498,1833.39,98.5,8.0222,,5683,1.46728,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","JUL 1977"
PH,"A $^3\Pi_0^+$",0.97606596,29498,1833.78,98.5,8.0222,,5683,1.46728,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","JUL 1977"
PD,"X $^3\Sigma^-$",1.89112949,0,1699.2,23,4.4081,0.0928,1160,1.422,3.06,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","JUL 1977"
PD,"A $^3\Pi_2$",1.89112949,29505,1357.54,50.8,4.172,,1506,1.4617,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","JUL 1977"
PD,"A $^3\Pi_1$",1.89112949,29505,1357.21,50.8,4.172,,1506,1.4617,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","JUL 1977"
PD,"A $^3\Pi_0^-$",1.89112949,29505,1357.14,50.8,4.172,,1506,1.4617,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","JUL 1977"
PD,"A $^3\Pi_0^+$",1.89112949,29505,1357.4,50.8,4.172,,1506,1.4617,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","JUL 1977"
PN,"X $^1\Sigma^+$",9.64336165,0,1337.24,6.983,0.7864854,0.0055364,10.91,1.490866,6.36,11.85,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","JUL 1977"
PN,"A $^1\Pi$",9.64336165,39805.66,1103.09,7.222,0.73071,0.00663,12.9,1.5467,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","JUL 1977"
PO,"X $^2\Pi$",10.54793811,0,1233.34,6.56,0.7337,0.0055,13,1.4759,6.15,8.23,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","SEP 1977"
PO,"B $^2\Sigma^+$",10.54793811,30730.88,1164.51,13.46,0.7463,0.0088,12.5,1.4634,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","SEP 1977"
PO,"b $^4\Sigma^-$",10.54793811,34837,889,6.62,0.644,0.006,,1.575,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","SEP 1977"
PO,"B' $^2\Pi$",10.54793811,33120.7,759.2,3.85,0.542,0.0049,10,1.7172,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","SEP 1977"
PO,"A $^2\Sigma^+$",10.54793811,40406.89,1390.94,6.91,0.7801,0.00542,10,1.4313,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","SEP 1977"
PtC,"X $^1\Sigma^+$",11.30422952,0,1051.13,4.86,0.53044,0.003273,5.46,1.67672,6.28,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","MAY 1975"
PtC,"A'' $^1\Sigma^+$",11.30422952,12697.19,943.4,5.28,0.50957,0.003705,6.04,1.71071,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","MAY 1975"
PtC,"A' $^1\Pi$",11.30422952,13262.8,906.93,5.6,0.50584,0.0039,6.2,1.717,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","MAY 1975"
PtC,"A $^1\Pi$",11.30422952,18627.01,818.74,5.44,0.48023,0.00411,6.7,1.76219,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","MAY 1975"
PtH,"X $^2\Delta_{5/2}$",1.00264229,0,2294.68,46,7.1963,0.1996,2613,1.52852,3.44,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","AMY 1975"
PtH,"X $^2\Delta_{3/2}$",1.00264229,,2177.31,43,2.2784,0.2029,2834,1.51987,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","MAY 1975"
PtH,"A' $^2\Delta_{3/2}$",1.00264229,,1500.08,58,6.1103,0.2869,4717,1.65879,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","MAY 1975"
PtH,"A $^2\Delta_{5/2}$",1.00264229,22311,1690.6,55.3,5.534,,3550,1.743,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","MAY 1975"
PtH,"B' $^2\Phi_{7/2}$",1.00264229,24218,1428.7,74,5.758,0.326,3600,1.7088,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","MAY 1975"
PtH,"B $^2\Delta_{5/2}$",1.00264229,26962,1548.18,80,6.003,0.301,3150,1.6736,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","MAY 1975"
PtD,"X $^2\Delta_{5/2}$",1.9935081,0,1644.3,23,3.64,0.071,660,1.5242,3.59,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","MAY 1975"
PtD,"A $^2\Delta_{5/2}$",1.9935081,22287,1198.5,26.5,2.935,0.109,760,1.6974,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","MAY 1975"
PtD,"B $^2\Delta_{5/2}$",1.9935081,26497,1211.8,40.3,3.039,0.111,770,1.6681,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","MAY 1975"
PtO,"X $^1\Sigma$",14.78218442,0,851.11,4.98,0.38224,0.00283,3.05,1.72726,3.82,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","JAN 1976"
PtO,"A $^1\Sigma$",14.78218442,16995.12,727.07,5.42,0.35385,0.00291,3.27,1.79523,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","JAN 1976"
RbH,"X $^1\Sigma^+$",0.99600357,0,936.94,14.21,3.02,0.072,1230,2.367,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","JUL 1977"
RbH,"A $^1\Sigma^+$",0.99600357,18219,211.7,-6.47,1.112,-0.054,1100,3.901,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","JUL 1977"
RhC,"X $^2\Sigma^+$",10.74679641,0,1049.87,4.937,0.6027,0.00396,7.83,1.6133,6.01,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","MAY 1975"
RhC,"A $^2\Pi$",10.74679641,9462.94,949.41,5.357,0.57329,0.00426,8.26,1.6554,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","MAY 1975"
RhC,"A $^2\Pi$",10.74679641,10242.75,939.12,5.48,0.57149,0.00428,8.32,1.6554,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","MAY 1975"
SbF,"X$_1$ $^3\Sigma^-$ $0^+$",16.4184644,0,605,2.62,0.2792,0.002,2.3,1.9177,4.4,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","JUL 1977"
SbF,"X$_2$ $^3\Sigma^-$ $1$",16.4184644,796.3,612.6,2.61,0.2805,0.002,2.4,1.9132,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","JUL 1977"
SbF,"a $^1\Delta$",16.4184644,6816,616.3,2.7,0.2806,0.00187,2.3,1.9129,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","JUL 1977"
SbF,"b $^1\Sigma^+$",16.4184644,13651.1,615.5,2.8,0.2815,0.0025,2.4,1.9098,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","JUL 1977"
SbF,A,16.4184644,21407.5,416,2.1,0.23853,,3.22,2.0747,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","JUL 1977"
ScCl,"X $^1\Sigma^+$",22.4779587,0,447.4,1.8,0.1725,0.001,1.1,2.229,3.4,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","MAY 1975"
ScCl,"A $^1\Sigma^+$",22.4779587,12431.2,373.9,0.9,0.1574,,1.1,2.333,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","MAY 1975"
ScCl,"B $^1\Pi$",22.4779587,17613.3,374.3,2.3,0.1551,,1.1,2.351,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","MAY 1975"
ScF,"X $^1\Sigma^+$",13.3546988,0,735.6,3.8,0.395,0.00266,,1.7877,6.17,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","MAY 1975"
ScF,"a $^3\Delta_1$",13.3546988,,648.91,3.03,0.3623,0.0025,,1.8666,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","MAY 1975"
ScF,"a $^3\Delta_2$",13.3546988,,648.98,3.03,0.3665,0.00254,,1.8559,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","MAY 1975"
ScF,"a $^3\Delta_3/$",13.3546988,,649.11,3.03,0.3706,0.00258,,1.8456,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","MAY 1975"
ScF,"B $^1\Pi$",13.3547,10735.4,586.25,2.015,0.03431,0.00262,,1.9181,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","MAY 1975"
ScO,"X $^2\Sigma^+$",11.79747757,0,964.95,4.2,0.51343,0.0033,5.85,1.66826,6.96,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","JAN 1977"
ScO,"A $^2\Pi$",11.79747757,16547,876,5,0.50277,0.0037,6.54,1.68585,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","JAN 1977"
SeO,"X$_1$  $^3\Sigma^-$ $0^-$",13.32748238,0,914.69,4.52,0.4655,0.00323,5,1.6484,4.41,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","OCT 1977"
SeO,"X$_2$  $^3\Sigma^-$ $1$",13.32748238,165.9,915.43,4.52,0.4738,0.00339,5,1.6339,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","OCT 1977"
SeO,"a $^1\Delta$",13.32748238,5300,,,0.461,,,1.656,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","OCT 1977"
SeO,"b $^1\Sigma^+$",13.32748238,9723.5,838.83,5.11,0.456,0.0035,8,1.6655,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","OCT 1977"
SeO,"A$_1$ $^3\Pi_0$",13.32748238,16144,994,6.5,0.47,,,1.64,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","OCT 1977"
SeO,"A$_2$ $^3\Pi_1$",13.32748238,16458,996,7,0.47,,,1.64,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","OCT 1977"
SeO,"A$_3$ $^3\Pi_2$",13.32748238,16773,980,,0.47,,,1.64,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","OCT 1977"
SeS,"X$_1$ $0^+$",22.66987689,0,555.56,1.848,0.17926,0.00076,0.6,2.0367,3.7,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","JUL 1977"
SeS,"X$_2$ $1$",22.66987689,205,556.26,1.831,0.18121,0.00089,0.7,2.0257,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","JUL 1977"
SeS,"A $0^+$",22.66987689,27328.4,332.1,2.66,0.1186,0.00095,,2.504,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","JUL 1977"
SeS,"B$_1$ $0^+$",22.66987689,28248.2,330.82,2.92,0.1369,0.00121,,2.331,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","JUL 1977"
SeS,"B$_2$ $0^+$",22.66987689,28330,327.56,,0.1349,,,2.348,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","JUL 1977"
SH,"X $^2\Pi$",0.97702732,0,2711.6,59.9,9.4611,0.27,4800,1.3409,3.55,10.43,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","JUL 1977"
SH,"A $^2\Sigma^+$",0.97702732,31038,1979.8,97.65,8.521,0.464,6360,1.423,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","JUL 1977"
SH,"B $^2\Sigma^$",0.97702732,59641,2557.03,56.8,8.785,0.259,8200,1.4014,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","JUL 1977"
SD,"X $^2\Pi$",1.89474169,0,1885.5,30.9,4.9003,0.1,1350,1.3406,3.6,10.43,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","JUL 1977"
SD,"A $^2\Sigma^+$",1.89474169,31039,1417,48.85,4.392,0.172,1760,1.4233,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","JUL 1977"
SD,"B $^2\Sigma^$",1.89474169,59581,1859.16,29.3,4.532,0.105,1350,1.4011,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","JUL 1977"
SiCl,"X $^2\Pi$",15.5422824,0,535.6,2.168,0.2561,0.0016,2.5,2.058,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","SEP 1977"
SiCl,"X $^2\Pi$",15.5422824,206.6,535.6,2.16,0.2561,0.0016,2.5,2.058,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","SEP 1977"
SiCl,"A $^2\Sigma$",15.5422824,23113.9,294.95,0.73,0.1986,0.0007,2.9,2.337,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","SEP 1977"
SiCl,"B $^2\Sigma^+$",15.54228,34108.6,706.6,3.9,0.2784,0.0017,1.8,1.971,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","SEP 1977"
SiF,"X $^2\Pi$",11.3148108,0,857.19,4.735,0.58121,0.00494,10.7,1.6011,5.57,7.28,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","SEP 1977"
SiF,"A $^2\Sigma^+$",11.3148108,22858.3,718.58,10.167,0.57839,0.00941,15.7,1.6011,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","SEP 1977"
SiH,"X $^2\Pi$",0.97278226,0,2041.8,35.51,7.4996,0.219,3970,1.5201,3.06,8.04,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","AUG 1977"
SiH,"A $^2\Delta$",0.97278226,24300.4,1858.9,99.175,7.4664,0.3445,5240,1.52347,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","AUG 1977"
SiD,"X $^2\Pi$",1.87884152,0,1469.32,18.23,3.884,0.0781,1054,1.51989,3.095,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","AUG 1977"
SiD,"A $^2\Delta$",1.87884152,2413.8,1328.08,48.11,3.868,0.1318,1.379,1.52304,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","AUG 1977"
SiN,"X $^2\Sigma^+$",9.33213399,0,1151.36,6.47,0.7311,0.00565,12,1.5719,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","SEP 1977"
SiN,"A $^2\Pi$",9.33213399,8000,1044.41,6.2,0.67516,0.00538,11,1.6357,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","SEP 1977"
SiN,"B $^2\Sigma^+$",9.33213399,24299.2,1031.03,16.85,0.7238,0.01048,15,1.5798,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","SEP 1977"
SiO,"X $^1\Sigma^+$",10.17670761,0,1241.557,5.966,0.7267512,0.0050377,9.8,1.509739,8.26,11.43,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","AUG 1977"
SiO,"a $^3\Sigma^+$",10.17670761,33630,790,4.1,0.57,0.0052,,1.7,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","AUG 1977"
SiO,"b $^3\Pi_0$",10.17670761,33874.8,1013.8,7.5,0.66386,0.0044,5,1.5624,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","AUG 1977"
SiO,"b $^3\Pi_1$",10.17670761,33947.4,1013.8,7.5,0.6707,0.0044,12.5,1.5624,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","AUG 1977"
SiO,"b $^3\Pi_2$",10.17670761,34018.5,1013.8,7.5,0.6892,0.0044,22,1.5624,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","AUG 1977"
SiO,"d $^3\Delta$",10.17670761,36487,767,4.1,0.5631,0.0052,,1.715,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","AUG 1977"
SiO,"e $^3\Sigma^-$",10.17670761,38309,748,4.19,0.5563,0.00515,,1.726,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","AUG 1977"
SiO,"C $^1\Sigma^-$",10.17670761,38624,740,4.27,0.5555,0.0052,,1.727,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","AUG 1977"
SiO,"D $^1\Delta$",10.17670761,38823,730,3.9,0.5538,0.00516,,1.729,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","AUG 1977"
SiO,"A $^1\Pi$",10.17670761,42835.4,825.8,6.43,0.6307,0.0066,1.43,1.6206,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","AUG 1977"
SnCl,"X$_1$ $^2\Pi_{1/2}$",27.0731195,0,351.1,1.06,0.1117,0.0004,,2.361,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","SEP 1977"
SnCl,"X$_2$ $^2\Pi_{3/2}$",27.0731195,2356.6,354.4,1.05,0.1122,0.0004,,2.356,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","SEP 1977"
SnCl,"A' $^2\Sigma^+$",27.0731195,19418.4,232.3,0.71,0.0908,,,2.619,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","SEP 1977"
SnCl,"B $^2\Sigma^+$",27.0731195,33583.3,431.8,1.25,0.1216,0.0006,,2.263,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","SEP 1977"
SnF,"X $^2\Pi_{1/2}$",16.3618865,0,577.64,2.69,0.2727,0.0014,2.62,1.944,4.9,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","SEP 1977"
SnF,"X $^2\Pi_{3/2}$",16.3618865,2316.9,582.67,2.82,0.2738,0.0014,2.25,1.94,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","SEP 1977"
SnF,"A $^2\Sigma^+$",16.3618865,20136.9,415.76,2.206,0.2471,0.0026,3.82,2.042,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","SEP 1977"
SO,"X $^3\Sigma^-$",10.66130292,0,1149.22,5.63,0.7208171,0.0057367,11.34,1.481087,5.359,10.29,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","AUG 1977"
SO,"a $^1\Delta$",10.66130292,6350,,,0.7103383,,11.68,1.491971,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","AUG 1977"
SO,"b $^1\Sigma^+$",10.66130292,10510,1068.6,7.25,0.70262,0.00635,12,1.5001,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","AUG 1977"
SO,"A $^3\Pi_0$",10.66130292,38306,415.2,1.6,0.6067,0.0194,37,1.6144,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","AUG 1977"
SO,"A $^3\Pi_1$",10.66130292,38462,413.3,1.6,0.6107,0.0194,40,1.6091,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","AUG 1977"
SO,"A $^3\Pi_2$",10.66130292,38622,412.7,1.7,0.6164,0.0204,48,1.6016,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","AUG 1977"
SO,"B $^3\Sigma^-$",10.66130292,41629,630.4,4.79,0.502,0.0062,12.8,1.775,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","AUG 1977"
SrF,"X $^2\Sigma^+$",15.6221112,0,502.4,2.27,0.25053,0.001546,2.49,2.07537,5.58,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","OCT 1977"
SrF,"A $^2\Pi$",15.6221112,15068.3,507.9,2.21,,,,,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","OCT 1977"
SrF,"A $^2\Pi$",15.6221112,15349,507.3,2.18,,,,,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","OCT 1977"
SrF,"B $^2\Sigma^+$",15.6221112,17267.42,495.8,2.34,0.249396,0.001557,2.52,2.0801,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","OCT 1977"
SrH,"X $^2\Sigma^+$",0.99640162,0,1206.2,17,3.6751,0.0814,1350,2.1456,1.66,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.","SEP 1977"
